tipo,componente,nodos,muestra_nodos
debil,1,18810,"4102225920,525697025,8314588955,10943725571,10943725572,10943725573,525697028,4102225927,4102225926,8314978312"
fuerte,1,18754,"4102225920,525697025,8314588955,10943725571,10943725572,10943725573,6693552131,4102225927,4102225926,525697028"
fuerte,2,8,"4143340164,5431828102,5431828107,5431828108,4143340181,5431828117,4143340182,4143340185"
fuerte,3,4,"5431726784,4143340217,4143340226,4143340212"
fuerte,4,4,"4143340192,4143340218,4143340197,4143340202"
fuerte,5,4,"4143340188,4143340196,4143340189,4143340159"
fuerte,6,2,"611907652,611907623"
fuerte,7,2,"5431726786,5431726789"
fuerte,8,2,"5431726783,4143340231"
fuerte,9,2,"11036421779,3426213588"
fuerte,10,2,"6852858272,7102256376"
fuerte,11,1,10788589093
fuerte,12,1,6372995497
fuerte,13,1,4777664055
fuerte,14,1,10126513945
fuerte,15,1,10788589053
fuerte,16,1,10788589049
fuerte,17,1,10042829216
fuerte,18,1,11512727747
fuerte,19,1,11520857941
fuerte,20,1,10927686043
fuerte,21,1,10209190929
fuerte,22,1,5431747477
fuerte,23,1,3869710973
fuerte,24,1,7097160670
fuerte,25,1,5431828114
fuerte,26,1,5431828109
fuerte,27,1,4029305366
fuerte,28,1,4913426054
fuerte,29,1,7097160672
fuerte,30,1,10788589039
fuerte,31,1,10788589047
fuerte,32,1,10788589094
fuerte,33,1,10927686042
fuerte,34,1,11414205481
fuerte,35,1,11512727710
fuerte,36,1,11676345614
