id_nodo,tipo_nodo,in_degree,out_degree,street_count,demanda_kg,weak_comp,strong_comp,en_comp_principal,alcanzable_estacion,puede_llegar_relleno,problemas
611907623,cliente,1,1,1.0,1.0,1,6,False,True,False,fuera_componente_principal_dirigida;cliente_no_llega_a_relleno
611907652,cliente,2,1,2.0,1.0,1,6,False,True,False,fuera_componente_principal_dirigida;cliente_no_llega_a_relleno
3426213588,calle,1,2,3.0,0.0,1,9,False,False,True,fuera_componente_principal_dirigida
3869710973,calle,1,0,1.0,0.0,1,23,False,True,False,fuera_componente_principal_dirigida;sin_salida
4029305366,calle,0,1,1.0,0.0,1,27,False,False,True,fuera_componente_principal_dirigida;sin_entrada
4143340159,calle,1,1,1.0,0.0,1,5,False,False,True,fuera_componente_principal_dirigida
4143340164,calle,3,3,3.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
4143340181,calle,3,3,3.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
4143340182,calle,3,3,3.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
4143340185,calle,1,1,1.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
4143340188,calle,3,3,3.0,0.0,1,5,False,False,True,fuera_componente_principal_dirigida
4143340189,calle,1,1,1.0,0.0,1,5,False,False,True,fuera_componente_principal_dirigida
4143340192,calle,1,1,1.0,0.0,1,4,False,False,True,fuera_componente_principal_dirigida
4143340196,calle,2,2,3.0,0.0,1,5,False,False,True,fuera_componente_principal_dirigida
4143340197,calle,3,3,3.0,0.0,1,4,False,False,True,fuera_componente_principal_dirigida
4143340202,calle,1,1,1.0,0.0,1,4,False,False,True,fuera_componente_principal_dirigida
4143340212,calle,3,3,3.0,0.0,1,3,False,False,True,fuera_componente_principal_dirigida
4143340217,calle,1,1,1.0,0.0,1,3,False,False,True,fuera_componente_principal_dirigida
4143340218,calle,2,2,3.0,0.0,1,4,False,False,True,fuera_componente_principal_dirigida
4143340226,calle,2,2,3.0,0.0,1,3,False,False,True,fuera_componente_principal_dirigida
4143340231,calle,2,2,3.0,0.0,1,8,False,False,True,fuera_componente_principal_dirigida
4777664055,calle,1,0,1.0,0.0,1,13,False,True,False,fuera_componente_principal_dirigida;sin_salida
4913426054,calle,0,1,1.0,0.0,1,28,False,False,True,fuera_componente_principal_dirigida;sin_entrada
5431726783,calle,1,1,1.0,0.0,1,8,False,False,True,fuera_componente_principal_dirigida
5431726784,calle,1,1,1.0,0.0,1,3,False,False,True,fuera_componente_principal_dirigida
5431726786,calle,1,1,1.0,0.0,1,7,False,False,True,fuera_componente_principal_dirigida
5431726789,calle,2,2,3.0,0.0,1,7,False,False,True,fuera_componente_principal_dirigida
5431747477,calle,1,0,1.0,0.0,1,22,False,True,False,fuera_componente_principal_dirigida;sin_salida
5431828102,calle,1,1,1.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
5431828107,calle,3,3,3.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
5431828108,calle,1,1,1.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
5431828109,calle,1,2,3.0,0.0,1,26,False,False,True,fuera_componente_principal_dirigida
5431828114,calle,2,1,3.0,0.0,1,25,False,False,True,fuera_componente_principal_dirigida
5431828117,calle,2,2,3.0,0.0,1,2,False,False,True,fuera_componente_principal_dirigida
6372995497,calle,1,0,1.0,0.0,1,12,False,True,False,fuera_componente_principal_dirigida;sin_salida
6852858272,calle,1,1,1.0,0.0,1,10,False,False,True,fuera_componente_principal_dirigida
7097160670,cliente,1,0,1.0,1.0,1,24,False,True,False,fuera_componente_principal_dirigida;sin_salida;cliente_no_llega_a_relleno
7097160672,cliente,0,1,1.0,1.0,1,29,False,False,True,fuera_componente_principal_dirigida;sin_entrada;cliente_no_alcanzable_desde_estacion
7102256376,calle,1,2,2.0,0.0,1,10,False,False,True,fuera_componente_principal_dirigida
10042829216,calle,1,0,1.0,0.0,1,17,False,True,False,fuera_componente_principal_dirigida;sin_salida
10126513945,calle,1,0,1.0,0.0,1,14,False,True,False,fuera_componente_principal_dirigida;sin_salida
10209190929,calle,1,0,1.0,0.0,1,21,False,True,False,fuera_componente_principal_dirigida;sin_salida
10788589039,calle,0,1,1.0,0.0,1,30,False,False,True,fuera_componente_principal_dirigida;sin_entrada
10788589047,calle,0,1,1.0,0.0,1,31,False,False,True,fuera_componente_principal_dirigida;sin_entrada
10788589049,calle,1,0,1.0,0.0,1,16,False,True,False,fuera_componente_principal_dirigida;sin_salida
10788589053,calle,1,0,1.0,0.0,1,15,False,True,False,fuera_componente_principal_dirigida;sin_salida
10788589093,calle,1,0,1.0,0.0,1,11,False,True,False,fuera_componente_principal_dirigida;sin_salida
10788589094,calle,0,1,1.0,0.0,1,32,False,False,True,fuera_componente_principal_dirigida;sin_entrada
10927686042,calle,0,1,1.0,0.0,1,33,False,False,True,fuera_componente_principal_dirigida;sin_entrada
10927686043,calle,1,0,1.0,0.0,1,20,False,True,False,fuera_componente_principal_dirigida;sin_salida
11036421779,calle,1,1,1.0,0.0,1,9,False,False,True,fuera_componente_principal_dirigida
11414205481,calle,0,1,1.0,0.0,1,34,False,False,True,fuera_componente_principal_dirigida;sin_entrada
11512727710,calle,0,1,1.0,0.0,1,35,False,False,True,fuera_componente_principal_dirigida;sin_entrada
11512727747,calle,1,0,1.0,0.0,1,18,False,True,False,fuera_componente_principal_dirigida;sin_salida
11520857941,cliente,1,0,1.0,1.0,1,19,False,True,False,fuera_componente_principal_dirigida;sin_salida;cliente_no_llega_a_relleno
11676345614,calle,0,1,1.0,0.0,1,36,False,False,True,fuera_componente_principal_dirigida;sin_entrada
