Camión,Paso,Tramo,De,A,Nodo_De,Nodo_A,Paradas_en_recolección,Carga_kg,Dist_km,Min,Vehiculo,Operacion
1,V1-1,Aprox,Estacion,Recoleccion,639837109,525278500,0,0.0,3.4004186231528424,4.080502347783411,1,Estacion -> Recoleccion -> Relleno
1,V1-2,Recol,Recoleccion,Recoleccion,525278500,525411513,28,11786.0,3.2268052365068907,33.36083141904134,1,Estacion -> Recoleccion -> Relleno
1,V1-3,Desc,Recoleccion,Relleno,525411513,6433377455,0,0.0,16.078111665223346,24.11716749783502,1,Estacion -> Recoleccion -> Relleno
1,V2-1,Aprox,Relleno,Recoleccion,6433377455,525411509,0,0.0,15.865504195812019,19.03860503497442,1,Estacion -> Recoleccion -> Relleno
1,V2-2,Recol,Recoleccion,Recoleccion,525411509,525278480,44,11459.28,7.998044728316304,69.98826836989784,1,Estacion -> Recoleccion -> Relleno
1,V2-3,Desc,Recoleccion,Relleno,525278480,6433377455,0,0.0,17.332944599003124,25.999416898504688,1,Estacion -> Recoleccion -> Relleno
1,V3-1,Aprox,Relleno,Recoleccion,6433377455,2496228894,0,0.0,16.545234972648114,19.854281967177737,1,Estacion -> Recoleccion -> Relleno
1,V3-2,Recol,Recoleccion,Recoleccion,2496228894,524356339,46,10083.8,5.648055930916966,56.88833558550179,1,Estacion -> Recoleccion -> Relleno
1,V3-3,Desc,Recoleccion,Relleno,524356339,6433377455,0,0.0,17.216813187359303,25.82521978103896,1,Estacion -> Recoleccion -> Relleno
1,V4-1,Aprox,Relleno,Recoleccion,6433377455,525697090,0,0.0,16.882352108354336,20.258822530025203,1,Estacion -> Recoleccion -> Relleno
1,V4-2,Recol,Recoleccion,Recoleccion,525697090,616221042,85,10048.83,8.33612056857116,92.51672341142697,1,Estacion -> Recoleccion -> Relleno
1,V4-3,Desc,Recoleccion,Relleno,616221042,6433377455,0,0.0,16.208637316621978,24.31295597493297,1,Estacion -> Recoleccion -> Relleno
2,V1-1,Aprox,Estacion,Recoleccion,639837109,3748284430,0,0.0,5.695966879416867,6.83516025530024,2,Estacion -> Recoleccion -> Relleno
2,V1-2,Recol,Recoleccion,Recoleccion,3748284430,616637704,108,10702.99,13.320206551083414,133.9212393065005,2,Estacion -> Recoleccion -> Relleno
2,V1-3,Desc,Recoleccion,Relleno,616637704,6433377455,0,0.0,16.97238974606153,25.458584619092296,2,Estacion -> Recoleccion -> Relleno
2,V2-1,Aprox,Relleno,Recoleccion,6433377455,577263293,0,0.0,17.007267398937405,20.408720878724885,2,Estacion -> Recoleccion -> Relleno
2,V2-2,Recol,Recoleccion,Recoleccion,577263293,349333524,82,9665.55,8.561053618207795,92.36632170924676,2,Estacion -> Recoleccion -> Relleno
2,V2-3,Desc,Recoleccion,Relleno,349333524,6433377455,0,0.0,16.108549772028493,24.162824658042737,2,Estacion -> Recoleccion -> Relleno
2,V3-1,Aprox,Relleno,Recoleccion,6433377455,525512788,0,0.0,17.143408639023832,20.5720903668286,2,Estacion -> Recoleccion -> Relleno
2,V3-2,Recol,Recoleccion,Recoleccion,525512788,524356185,12,4487.08,0.9812116695026715,11.887270017016029,2,Estacion -> Recoleccion -> Relleno
2,V3-3,Desc,Recoleccion,Relleno,524356185,6433377455,0,0.0,16.30194338070455,24.45291507105683,2,Estacion -> Recoleccion -> Relleno
3,V1-1,Aprox,Estacion,Recoleccion,639837109,529965562,0,0.0,4.715199434409525,5.658239321291431,3,Estacion -> Recoleccion -> Relleno
3,V1-2,Recol,Recoleccion,Recoleccion,529965562,4173827179,82,10498.37,10.269070554122466,102.6144233247348,3,Estacion -> Recoleccion -> Relleno
3,V1-3,Desc,Recoleccion,Relleno,4173827179,6433377455,0,0.0,13.992353730515147,20.98853059577272,3,Estacion -> Recoleccion -> Relleno
3,V2-1,Aprox,Relleno,Recoleccion,6433377455,525278442,0,0.0,16.203242376545873,19.443890851855045,3,Estacion -> Recoleccion -> Relleno
3,V2-2,Recol,Recoleccion,Recoleccion,525278442,499289222,45,10402.79,4.40704836984699,48.94229021908193,3,Estacion -> Recoleccion -> Relleno
3,V2-3,Desc,Recoleccion,Relleno,499289222,6433377455,0,0.0,14.946226901899932,22.419340352849897,3,Estacion -> Recoleccion -> Relleno
3,V3-1,Aprox,Relleno,Recoleccion,6433377455,524110403,0,0.0,16.119890433441128,19.343868520129355,3,Estacion -> Recoleccion -> Relleno
3,V3-2,Recol,Recoleccion,Recoleccion,524110403,577206084,81,7639.88,10.532392591418843,103.69435554851306,3,Estacion -> Recoleccion -> Relleno
3,V3-3,Desc,Recoleccion,Relleno,577206084,6433377455,0,0.0,15.126308432984311,22.689462649476468,3,Estacion -> Recoleccion -> Relleno
4,V1-1,Aprox,Estacion,Recoleccion,639837109,2660369670,0,0.0,6.259315156939513,7.511178188327416,4,Estacion -> Recoleccion -> Relleno
4,V1-2,Recol,Recoleccion,Recoleccion,2660369670,577263104,130,9219.7,17.661087952705177,170.96652771623107,4,Estacion -> Recoleccion -> Relleno
4,V1-3,Desc,Recoleccion,Relleno,577263104,6433377455,0,0.0,17.043486077296937,25.565229115945407,4,Estacion -> Recoleccion -> Relleno
5,V1-1,Aprox,Estacion,Recoleccion,639837109,616633649,0,0.0,5.436965752857474,6.524358903428969,5,Estacion -> Recoleccion -> Relleno
5,V1-2,Recol,Recoleccion,Recoleccion,616633649,7103203649,117,7664.1,14.424463889681416,145.0467833380885,5,Estacion -> Recoleccion -> Relleno
5,V1-3,Desc,Recoleccion,Relleno,7103203649,6433377455,0,0.0,19.28546867101429,28.928203006521432,5,Estacion -> Recoleccion -> Relleno
5,V2-1,Aprox,Relleno,Recoleccion,6433377455,616637724,0,0.0,17.763795693921207,21.316554832705446,5,Estacion -> Recoleccion -> Relleno
5,V2-2,Recol,Recoleccion,Recoleccion,616637724,616637711,84,6341.63,11.693635537617519,112.16181322570512,5,Estacion -> Recoleccion -> Relleno
5,V2-3,Desc,Recoleccion,Relleno,616637711,6433377455,0,0.0,17.024839174066564,25.53725876109985,5,Estacion -> Recoleccion -> Relleno
