id_nodo,cluster_id,demanda_kg,densidad_pob_km2,pob_buffer
321424779,1,6.12,7189.40576171875,5637.479947461553
321424780,1,45.34,7189.40576171875,5637.479947461553
321424810,3,190.25,7077.917724609375,5550.058038834199
321424850,1,175.25,6986.05029296875,5478.021375323499
343898533,1,5.98,7169.78515625,5622.094702344898
343898535,1,5.98,7169.78515625,5622.094702344898
343898537,1,71.09,7169.78515625,5622.094702344898
347404204,0,1098.54,7177.40673828125,5628.071067748821
347652061,3,106.43,6986.05029296875,5478.021375323499
347652064,3,366.95,6986.05029296875,5478.021375323499
413646862,1,5.9,7189.40576171875,5637.479947461553
413678731,0,746.24,7177.40673828125,5628.071067748821
413678751,0,147.29,7150.68994140625,5607.121435521191
413678753,0,174.57,7150.68994140625,5607.121435521191
419724292,0,72.01,7072.736328125,5545.995113503701
419724294,0,414.11,7072.736328125,5545.995113503701
419724295,3,504.35,6986.05029296875,5478.021375323499
473194770,0,422.49,7072.736328125,5545.995113503701
473194784,0,492.45,7072.736328125,5545.995113503701
473194792,0,127.44,7072.736328125,5545.995113503701
473195047,0,119.08,7072.736328125,5545.995113503701
473195049,0,197.15,7072.736328125,5545.995113503701
473195053,0,345.93,7072.736328125,5545.995113503701
473195061,3,1125.16,6986.05029296875,5478.021375323499
473195063,3,672.59,6986.05029296875,5478.021375323499
473195070,3,497.21,7087.49169921875,5557.56534773659
473536066,1,6.01,7203.9296875,5648.86869683305
473536069,1,43.45,7203.9296875,5648.86869683305
473536072,3,137.61,7188.93310546875,5637.1093201496815
473536073,3,260.33,7188.93310546875,5637.1093201496815
473536074,3,419.72,7188.93310546875,5637.1093201496815
473536076,2,89.9,7188.93310546875,5637.1093201496815
473536077,2,165.99,7188.93310546875,5637.1093201496815
473536078,3,265.52,6986.05029296875,5478.021375323499
473536079,0,687.56,6986.05029296875,5478.021375323499
473536080,3,357.78,6986.05029296875,5478.021375323499
473536081,3,236.99,6986.05029296875,5478.021375323499
473536082,1,41.64,7169.78515625,5622.094702344898
473536083,1,82.06,7169.78515625,5622.094702344898
473536084,1,24.64,7169.78515625,5622.094702344898
473536085,1,41.74,7169.78515625,5622.094702344898
473536086,1,24.78,7169.78515625,5622.094702344898
473536087,1,59.09,7169.78515625,5622.094702344898
473536104,3,258.06,6986.05029296875,5478.021375323499
473536105,3,459.67,6986.05029296875,5478.021375323499
473536106,3,718.03,6986.05029296875,5478.021375323499
473536108,3,529.06,6986.05029296875,5478.021375323499
473536111,3,863.22,6986.05029296875,5478.021375323499
473536112,3,759.66,6986.05029296875,5478.021375323499
499289222,0,102.04,7150.68994140625,5607.121435521191
499289421,0,668.35,7177.40673828125,5628.071067748821
499289426,0,171.94,7177.40673828125,5628.071067748821
499289429,0,349.39,7164.04833984375,5617.596251635006
524233686,1,109.52,7169.78515625,5622.094702344898
524356165,3,588.3,7081.728515625,5553.04622153616
524356176,0,781.57,7177.40673828125,5628.071067748821
524356182,0,950.84,7177.40673828125,5628.071067748821
524356185,0,336.53,7177.40673828125,5628.071067748821
524356189,0,59.16,7150.68994140625,5607.121435521191
524356208,3,73.07,7188.93310546875,5637.1093201496815
524356210,3,42.9,6986.05029296875,5478.021375323499
524356212,3,127.18,6986.05029296875,5478.021375323499
524356215,3,83.22,6986.05029296875,5478.021375323499
524356219,3,109.96,6986.05029296875,5478.021375323499
524356221,3,400.09,6986.05029296875,5478.021375323499
524356223,3,311.21,6986.05029296875,5478.021375323499
524356227,0,681.18,6986.05029296875,5478.021375323499
524356232,3,491.65,6986.05029296875,5478.021375323499
524356244,3,575.61,6986.05029296875,5478.021375323499
524356247,3,831.94,6986.05029296875,5478.021375323499
524356251,1,63.67,6986.05029296875,5478.021375323499
524356271,3,174.32,6986.05029296875,5478.021375323499
524356273,3,223.87,6986.05029296875,5478.021375323499
524356275,3,147.05,6986.05029296875,5478.021375323499
524356283,3,632.6,6986.05029296875,5478.021375323499
524356286,3,247.25,6986.05029296875,5478.021375323499
524356288,3,598.4,6986.05029296875,5478.021375323499
524356289,3,124.61,6986.05029296875,5478.021375323499
524356294,3,403.27,6986.05029296875,5478.021375323499
524356296,3,23.84,6986.05029296875,5478.021375323499
524356297,3,51.38,6986.05029296875,5478.021375323499
524356298,3,156.86,6986.05029296875,5478.021375323499
524356302,1,201.07,7169.78515625,5622.094702344898
524356304,3,142.26,7169.78515625,5622.094702344898
524356306,1,6.08,7169.78515625,5622.094702344898
524356307,1,225.31,7169.78515625,5622.094702344898
524356308,1,6.34,7169.78515625,5622.094702344898
524356311,1,6.28,7169.78515625,5622.094702344898
524356312,1,167.38,7169.78515625,5622.094702344898
524356313,0,494.45,6986.05029296875,5478.021375323499
524356314,3,411.38,6986.05029296875,5478.021375323499
524356315,3,531.72,6986.05029296875,5478.021375323499
524356321,3,559.63,6986.05029296875,5478.021375323499
524356322,3,399.09,6986.05029296875,5478.021375323499
524356325,3,63.66,7072.736328125,5545.995113503701
524356326,3,266.34,6986.05029296875,5478.021375323499
524356330,1,49.7,7189.40576171875,5637.479947461553
524356332,1,24.61,7169.78515625,5622.094702344898
524356337,1,5.9,7169.78515625,5622.094702344898
524356339,1,89.32,7169.78515625,5622.094702344898
524356341,1,76.8,7169.78515625,5622.094702344898
524356343,0,25.13,7072.736328125,5545.995113503701
524356354,1,60.83,7169.78515625,5622.094702344898
524356377,1,105.45,7179.595458984375,5629.787324903225
524356382,1,25.8,7169.78515625,5622.094702344898
524356384,1,42.3,7189.40576171875,5637.479947461553
525278438,0,429.96,7177.40673828125,5628.071067748821
525278442,0,362.3,7177.40673828125,5628.071067748821
525278446,3,524.59,6986.05029296875,5478.021375323499
525278449,3,302.72,7188.93310546875,5637.1093201496815
525278453,3,406.52,6986.05029296875,5478.021375323499
525278456,0,682.61,6986.05029296875,5478.021375323499
525278458,0,659.34,6986.05029296875,5478.021375323499
525278461,3,626.1,6986.05029296875,5478.021375323499
525278465,3,558.96,6986.05029296875,5478.021375323499
525278467,3,752.08,6986.05029296875,5478.021375323499
525278474,3,491.72,6986.05029296875,5478.021375323499
525278479,1,108.06,7169.78515625,5622.094702344898
525278480,3,734.29,6986.05029296875,5478.021375323499
525278485,1,398.22,7169.78515625,5622.094702344898
