camion,viaje,origen,paradas,carga_kg,t_aprox_min,t_recol_min,t_espera_desalojo_min,t_desc_min,t_cierre_min,t_holgura_operativa_min,t_productivo_min,t_total_min,d_aprox_km,d_recol_km,d_desc_km,d_cierre_km,d_total_km,kg_por_km,kg_por_h,util_carga_pct
1,1,Estacion,28,11786.0,4.080502,47.992365,0.0,24.117167,0.0,0.0,76.190035,76.190035,3.400419,3.226805,16.078112,0.0,22.705336,519.08504,9281.528795,98.216667
1,2,Relleno,44,11459.28,19.038605,78.622138,0.0,25.999417,0.0,0.0,123.66016,123.66016,15.865504,7.998045,17.332945,0.0,41.196494,278.161538,5560.051047,95.494
1,3,Relleno,46,10083.8,19.854282,62.058729,0.0,25.82522,0.0,0.0,107.738231,107.738231,16.545235,5.648056,17.216813,0.0,39.410104,255.868393,5615.722444,84.031667
1,4,Relleno,85,10048.83,20.258823,84.616011,0.0,24.312956,0.0,0.0,129.18779,129.18779,16.882352,8.336121,16.208637,0.0,41.42711,242.566522,4667.080395,83.74025
2,1,Estacion,108,10702.99,6.83516,119.683986,0.0,25.458585,0.0,0.0,151.977731,151.977731,5.695967,13.320207,16.97239,0.0,35.988563,297.399759,4225.483548,89.191583
2,2,Relleno,82,9665.55,20.408721,84.686273,0.0,24.162825,0.0,0.0,129.257819,129.257819,17.007267,8.561054,16.10855,0.0,41.676871,231.916404,4486.637674,80.54625
2,3,Relleno,12,4487.08,20.57209,17.010999,0.0,24.452915,0.0,0.0,62.036005,62.036005,17.143409,0.981212,16.301943,0.0,34.426564,130.337725,4339.815256,37.392333
3,1,Estacion,82,10498.37,5.658239,96.627776,0.0,20.988531,0.0,0.0,123.274546,123.274546,4.715199,10.269071,13.992354,0.0,28.976624,362.304805,5109.750736,87.486417
3,2,Relleno,45,10402.79,19.443891,55.09463,0.0,22.41934,0.0,0.0,96.957861,96.957861,16.203242,4.407048,14.946227,0.0,35.556518,292.570552,6437.512059,86.689917
3,3,Relleno,81,7639.88,19.343869,92.228778,0.0,22.689463,0.0,0.0,134.262109,134.262109,16.11989,10.532393,15.126308,0.0,41.778591,182.865907,3414.16355,63.665667
4,1,Estacion,130,9219.7,7.511178,146.379918,0.0,25.565229,0.0,0.0,179.456325,179.456325,6.259315,17.661088,17.043486,0.0,40.963889,225.068962,3082.5439,76.830833
5,1,Estacion,117,7664.1,6.524359,121.630453,0.0,28.928203,0.0,0.0,157.083015,157.083015,5.436966,14.424464,19.285469,0.0,39.146898,195.777963,2927.407519,63.8675
5,2,Relleno,84,6341.63,21.316555,97.056461,0.0,25.537259,0.0,0.0,143.910274,143.910274,17.763796,11.693636,17.024839,0.0,46.48227,136.431158,2643.993289,52.846917
